datetime,minasrojas,militar,puertoayora,puertovillamil,puertobaccerizomoreno,eljunco,lagalapaguera,cuevadesucre,negra,crocker,rosa
2022-01-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00012861,1.3630e-05,0.00037098,0.0000
2022-01-03,0.0000,0.0000,0.0031028,0.019624,6.9992e-05,2.5269e-05,0.0047498,0.0000,0.00040187,4.3611e-06,0.00039360
2022-01-04,0.00052352,0.0000,0.010562,0.0086294,3.2814e-06,2.7461e-05,0.00094562,1.0044e-05,0.050912,2.1822e-05,9.1502e-05
2022-01-05,0.0083743,0.0012328,0.062048,0.019345,0.0081257,0.028031,0.0083298,0.010044,0.074485,0.028987,0.0091061
2022-01-06,0.00017266,0.0000,0.013416,0.010793,0.00072488,0.0043485,0.0021703,1.2434e-05,0.026701,0.00017341,0.0047391
2022-01-07,0.0000,0.0000,4.4287e-05,0.00014325,5.7005e-05,0.0088502,0.0016173,0.0000,0.022140,0.0000,0.0000
2022-01-08,0.0000,0.0041209,5.9082e-05,0.0000,0.0000,7.7157e-07,1.9995e-06,5.4624e-07,0.0028668,8.3382e-05,0.0000
2022-01-09,0.0010571,0.0000,0.011199,4.8638e-06,0.00025411,0.029120,0.0074356,0.0034859,0.050784,0.073178,0.26419
2022-01-10,0.15824,0.00039893,0.0074807,0.015679,0.00014519,0.0062375,1.2798e-05,0.0026913,0.089446,0.038980,0.16958
2022-01-11,4.7936e-07,0.0000,0.011933,0.0053706,0.0089474,0.0074297,0.015544,0.0098335,0.030908,0.0016633,0.0026029
2022-01-12,0.0048857,0.0000,0.016579,0.032541,0.00026305,0.022053,0.030574,0.016457,0.010439,0.032747,0.018294
2022-01-13,0.092103,0.0010885,0.18963,0.026064,0.11566,0.34189,0.23483,0.026797,0.10979,0.13971,0.18368
2022-01-14,0.18489,0.0000,0.038828,0.052872,0.0082736,0.053828,0.023203,0.0041499,0.036658,0.036335,0.44568
2022-01-15,0.13317,0.00036457,0.030290,0.048589,0.017030,0.024757,0.028266,0.012396,0.073561,0.010249,0.097363
2022-01-16,0.00040569,2.3538e-05,0.060051,0.022815,9.0002e-05,0.044898,0.016720,0.0055110,0.045036,0.037287,0.038743
2022-01-17,9.6156e-06,0.0000,0.014249,0.014154,0.00067763,2.2795e-05,0.0019015,0.00013130,0.0025310,0.00021200,0.065187
2022-01-18,0.00042511,0.0000,0.028293,0.0083898,0.012417,0.0057070,0.0024809,0.00034536,0.0025489,0.0027025,0.023364
