datetime,minasrojas,militar,puertoayora,puertovillamil,puertobaccerizomoreno,eljunco,lagalapaguera,cuevadesucre,negra,crocker,rosa
2022-01-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-01-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-02-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-03-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
