datetime,minasrojas,militar,puertoayora,puertovillamil,puertobaccerizomoreno,eljunco,lagalapaguera,cuevadesucre,negra,crocker,rosa
2022-04-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-04-02,0.016045,0.018027,0.018412,0.018166,0.017155,0.017034,0.017570,0.017164,0.015393,0.016490,0.016665
2022-04-03,0.015988,0.018128,0.018365,0.018044,0.016841,0.015844,0.016804,0.016779,0.015767,0.016379,0.016575
2022-04-04,0.016440,0.018300,0.018353,0.017852,0.017905,0.017250,0.018085,0.016770,0.015905,0.016494,0.016788
2022-04-05,0.016386,0.018168,0.018411,0.017775,0.016642,0.016663,0.017286,0.016742,0.015644,0.016662,0.016811
2022-04-06,0.016212,0.018173,0.018329,0.018284,0.016721,0.016757,0.017269,0.017301,0.015972,0.016629,0.016466
2022-04-07,0.015997,0.017988,0.018340,0.017936,0.016864,0.016642,0.016991,0.016587,0.015629,0.016336,0.016533
2022-04-08,0.016108,0.018117,0.018454,0.017823,0.016492,0.016025,0.016988,0.016783,0.015643,0.016528,0.016658
2022-04-09,0.016086,0.017918,0.018311,0.017753,0.016638,0.016236,0.016923,0.016792,0.015387,0.016376,0.016658
2022-04-10,0.015860,0.017792,0.018088,0.018120,0.016365,0.015972,0.016798,0.017012,0.015472,0.016034,0.016214
2022-04-11,0.015806,0.017620,0.018055,0.017748,0.016347,0.016191,0.017056,0.016720,0.015007,0.016268,0.016415
2022-04-12,0.016021,0.017717,0.018148,0.018086,0.016586,0.016324,0.017106,0.017059,0.015770,0.016295,0.016532
2022-04-13,0.015752,0.017767,0.018053,0.018242,0.016340,0.016031,0.017005,0.017408,0.016041,0.016166,0.016354
2022-04-14,0.015688,0.017632,0.017855,0.018111,0.016106,0.015867,0.016606,0.017253,0.015882,0.016039,0.016179
2022-04-15,0.015792,0.017504,0.017606,0.017707,0.016069,0.015816,0.016544,0.017205,0.015848,0.016069,0.016229
2022-04-16,0.015372,0.017239,0.017391,0.017454,0.015523,0.014925,0.015872,0.016585,0.015385,0.015532,0.015813
2022-04-17,0.015691,0.017247,0.017237,0.017528,0.015829,0.015363,0.016316,0.016724,0.015622,0.015838,0.015960
2022-04-18,0.015746,0.017261,0.017278,0.017361,0.015612,0.015360,0.015741,0.016476,0.015543,0.015958,0.016092
2022-04-19,0.015507,0.016622,0.016653,0.017015,0.015265,0.014841,0.015499,0.016319,0.015313,0.015549,0.015487
2022-04-20,0.014529,0.015922,0.015742,0.016194,0.014147,0.013279,0.013821,0.015509,0.014642,0.014461,0.014636
2022-04-21,0.014713,0.015821,0.015644,0.016164,0.013870,0.013236,0.013521,0.015602,0.014515,0.014851,0.014853
2022-04-22,0.013683,0.014907,0.014785,0.015282,0.013038,0.012468,0.013146,0.014701,0.014473,0.013420,0.013657
2022-04-23,0.014241,0.015075,0.015050,0.015276,0.014104,0.013578,0.014242,0.014831,0.014714,0.014066,0.014116
2022-04-24,0.013594,0.014993,0.015050,0.015249,0.013489,0.012628,0.013397,0.014799,0.014010,0.013461,0.013581
2022-04-25,0.013830,0.014844,0.014760,0.015085,0.013584,0.012986,0.013597,0.014634,0.014206,0.013756,0.013919
2022-04-26,0.013120,0.014607,0.014445,0.014959,0.013355,0.012502,0.013205,0.014234,0.013596,0.013050,0.013281
2022-04-27,0.012391,0.014422,0.014163,0.014588,0.013180,0.012553,0.013205,0.013629,0.012998,0.012438,0.012751
2022-04-28,0.012813,0.014780,0.014182,0.014897,0.013268,0.012422,0.013174,0.013951,0.013494,0.012720,0.012980
2022-04-29,0.012520,0.014594,0.014383,0.014958,0.013174,0.012211,0.013213,0.013993,0.013053,0.012476,0.012876
