datetime,minasrojas,militar,puertoayora,puertovillamil,puertobaccerizomoreno,eljunco,lagalapaguera,cuevadesucre,negra,crocker,rosa
2022-04-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2022-04-02,22.407,26.476,25.305,26.143,25.761,22.285,24.668,23.228,19.983,21.702,22.803
2022-04-03,22.546,26.556,25.275,25.782,26.097,21.672,24.224,23.097,19.828,21.726,23.014
2022-04-04,22.536,26.238,25.237,25.611,26.432,22.621,24.843,23.196,19.878,22.001,23.272
2022-04-05,21.834,26.145,24.985,25.737,25.488,22.321,24.325,23.059,19.669,21.674,22.636
2022-04-06,22.147,26.285,24.937,25.664,25.587,22.436,24.359,22.889,19.936,21.836,22.884
2022-04-07,22.656,26.676,25.228,25.964,26.113,22.321,24.114,23.009,19.955,21.740,23.056
2022-04-08,22.746,26.385,25.098,25.702,26.277,22.009,24.237,23.197,20.111,21.807,23.246
2022-04-09,22.027,26.158,25.074,25.609,25.178,21.645,24.111,22.699,19.882,21.456,22.396
2022-04-10,21.857,26.028,24.931,25.722,25.139,21.351,23.759,23.069,19.856,21.182,22.397
2022-04-11,22.324,26.271,25.050,25.715,25.981,22.061,24.161,23.071,19.252,21.566,22.906
2022-04-12,22.270,26.038,25.002,25.685,25.526,21.877,24.138,22.941,19.780,21.495,22.851
2022-04-13,22.108,25.564,24.801,25.528,25.112,21.860,24.026,22.968,20.038,21.596,22.498
2022-04-14,22.072,25.794,24.552,25.464,25.133,21.395,23.615,23.005,19.861,21.141,22.493
2022-04-15,22.296,25.356,24.500,25.617,25.227,21.557,23.575,22.890,19.912,21.299,22.676
2022-04-16,21.347,25.166,24.226,25.268,24.615,20.364,22.694,22.544,19.328,20.573,21.964
2022-04-17,21.792,24.917,23.968,24.783,24.849,20.991,23.056,22.531,19.639,20.953,21.849
2022-04-18,21.950,24.816,23.910,24.600,24.584,21.067,22.485,22.287,19.580,21.020,22.073
2022-04-19,21.455,23.637,23.246,24.581,23.923,20.205,21.842,21.978,19.305,20.506,21.506
2022-04-20,21.288,23.771,22.910,23.459,23.944,20.055,21.634,21.493,18.784,20.228,21.702
2022-04-21,21.398,24.149,22.505,23.464,24.790,19.678,21.310,21.543,18.607,20.166,21.317
2022-04-22,21.543,23.254,22.393,23.279,23.126,19.249,20.805,21.307,19.170,19.531,21.520
2022-04-23,20.668,22.830,21.696,23.265,22.599,18.947,20.660,21.068,18.835,19.286,20.897
2022-04-24,20.477,22.742,21.733,22.537,22.938,18.734,20.179,20.817,18.163,18.989,20.315
2022-04-25,20.745,22.742,21.540,22.984,22.771,18.921,20.607,20.796,18.525,19.199,20.555
